idx,num,object,date_obs,airmass,temperature,pressure,humidity,reftime,eqw_h2o,eqw_o2,eqw_o2b,eqw_halpha,eqw_hbeta,eqw_hgamma,eqw_h2o_err,eqw_o2_err,eqw_o2b_err,eqw_halpha_err,eqw_hbeta_err,eqw_hgamma_err
0,00238,mu. Col,2022-03-18T00:51:22.049,1.11557476948966,8.9,743.45,48.0,0.0,123.48447765075497,23.439535712211793,11.57188797714492,4.209068007390113,2.033180955818282,3.503224980764779,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
1,00244,mu. Col,2022-03-18T00:54:16.312,1.121576965054115,8.9,743.45,49.0,0.04840638888888993,128.92103831565927,24.36939823025502,11.630821996449901,4.366677745078703,2.0823109138896614,3.606313584172842,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
2,00245,mu. Col,2022-03-18T00:54:49.235,1.12272698054768,8.8,743.4,49.0,0.057551666666668666,119.04837785849027,23.81503551521586,11.281435969044958,4.448080174135088,1.918249854956245,3.175584458147471,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
3,00251,mu. Col,2022-03-18T00:57:47.565,1.12910731186445,8.9,743.4,50.0,0.10708777777777989,131.32772359576884,-4.913205582211648,0.7910305523890395,0.21325021772978908,-2.914305518720707,-3.3730719033701946,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
4,00252,mu. Col,2022-03-18T00:58:20.709,1.130309156823195,8.9,743.4,50.0,0.11629444444444559,120.23536317079973,23.99273939335438,11.240480012378653,4.307804221553079,1.7745536841056107,3.3235993628550644,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
5,00265,mu. Col,2022-03-18T01:04:49.716,1.14502998698828,8.9,743.3,53.0,0.22435194444444573,125.62015632752397,24.413408569805892,11.220430058501778,4.2581305489458305,1.8294600638439624,3.067518353767303,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
6,00272,mu. Col,2022-03-18T01:08:18.080,1.1533391050821,8.9,743.3,51.0,0.2822308333333341,116.99874358441144,24.474306438419703,11.140143758736233,4.1700623396443515,1.7163500502883078,3.421513316407142,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
7,00273,mu. Col,2022-03-18T01:08:50.992,1.154683255421995,8.9,743.35,51.0,0.2913730555555549,118.29947990949853,24.82366144986842,11.140880046341884,4.32506042617796,2.0473681815324865,3.367458038277568,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
8,00279,mu. Col,2022-03-18T01:11:46.031,1.16193866550813,8.9,743.4,53.0,0.3399950000000018,111.36109030638947,24.54724401076031,11.015504523820091,4.2579884250085644,2.0430664309649704,3.1213057950175855,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
9,00286,mu. Col,2022-03-18T01:15:18.583,1.17105276018288,8.9,743.45,54.0,0.3990372222222245,119.11162897609374,24.653145289690016,11.167807632170545,4.141824859317119,2.1126323479014,3.0001838382662607,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
10,00293,mu. Col,2022-03-18T01:18:45.526,1.18024864471996,9.0,743.45,53.0,0.4565213888888904,110.20079727503206,25.012130128443644,10.835406449562491,4.245107464110351,2.278576524314753,2.854102802520709,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
11,00300,mu. Col,2022-03-18T01:22:16.238,1.189962402398665,8.9,743.4,56.0,0.5150525000000012,125.95588289896641,-9.974737218627665,-1.2436456499000004,-0.2723465279641166,-3.23260164874768,-4.350683223425811,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
12,00301,mu. Col,2022-03-18T01:22:49.144,1.191505368069865,9.0,743.45,56.0,0.5241930555555587,127.64684731190883,-4.664802064285811,0.6495333352847418,0.30832307615865095,-2.970115982051481,-3.9169451697543862,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
13,00310,mu. Col,2022-03-18T01:43:57.837,1.25822658979951,8.8,743.55,56.0,0.8766077777777799,117.66894899284858,26.697968035251403,10.92114808032995,4.256968442798886,2.3086841647288736,3.389562156106924,1.0198700928170525,0.06323372134670785,0.06302143659354464,0.05515737532068255,0.0377845482137115,0.04950455172570173
